_id,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
6525f3fe35c39ef20d615b0b,25262,1066,852,213,22,12,17,17,17,0,52,\N,\N,42,13,1:39.960,210.612,11,2021
6525f3fe35c39ef20d615b0c,25263,1066,853,210,9,15,18,18,18,0,51,\N,\N,24,20,1:41.713,206.982,12,2021
6525f3fe35c39ef20d615b0d,25264,1066,849,3,6,18,19,19,19,0,47,\N,\N,42,14,1:40.000,210.528,3,2021
6525f3fe35c39ef20d615b0e,25265,1066,854,210,47,14,\N,R,20,0,32,\N,\N,22,15,1:40.276,209.948,44,2021
6525f3fe35c39ef20d615b0f,25266,1067,822,131,77,1,1,1,1,26,58,1:31:04.103,5464103,58,1,1:30.432,212.5,1,2021
6525f3fe35c39ef20d615b10,25267,1067,830,9,33,2,2,2,2,18,58,+14.584,5478687,53,9,1:32.759,207.169,1,2021
6525f3fe35c39ef20d615b11,25268,1067,815,9,11,6,3,3,3,15,58,+33.471,5497574,53,4,1:32.459,207.841,1,2021
6525f3fe35c39ef20d615b12,25269,1067,844,6,16,3,4,4,4,12,58,+37.814,5501917,57,8,1:32.737,207.218,1,2021
6525f3fe35c39ef20d615b13,25270,1067,1,131,44,11,5,5,5,10,58,+41.812,5505915,52,10,1:32.763,207.16,1,2021
6525f3fe35c39ef20d615b14,25271,1067,842,213,10,4,6,6,6,8,58,+44.292,5508395,50,11,1:32.814,207.046,1,2021
6525f3fe35c39ef20d615b15,25272,1067,846,1,4,7,7,7,7,6,58,+47.213,5511316,50,3,1:32.446,207.87,1,2021
6525f3fe35c39ef20d615b16,25273,1067,832,6,55,19,8,8,8,4,58,+51.526,5515629,49,2,1:31.921,209.057,1,2021
6525f3fe35c39ef20d615b17,25274,1067,840,117,18,8,9,9,9,2,58,+1:22.018,5546121,58,6,1:32.608,207.506,1,2021
6525f3fe35c39ef20d615b18,25275,1067,839,214,31,12,10,10,10,1,57,\N,\N,24,19,1:34.584,203.171,11,2021
6525f3fe35c39ef20d615b19,25276,1067,841,51,99,16,11,11,11,0,57,\N,\N,57,13,1:32.904,206.845,11,2021
6525f3fe35c39ef20d615b1a,25277,1067,8,51,7,17,12,12,12,0,57,\N,\N,50,5,1:32.586,207.556,11,2021
6525f3fe35c39ef20d615b1b,25278,1067,817,1,3,20,13,13,13,0,57,\N,\N,34,15,1:33.255,206.067,11,2021
6525f3fe35c39ef20d615b1c,25279,1067,852,213,22,9,14,14,14,0,57,\N,\N,54,12,1:32.844,206.979,11,2021
6525f3fe35c39ef20d615b1d,25280,1067,847,3,63,13,15,15,15,0,57,\N,\N,53,16,1:33.399,205.749,11,2021
6525f3fe35c39ef20d615b1e,25281,1067,4,214,14,5,16,16,16,0,57,\N,\N,55,14,1:33.252,206.073,11,2021
6525f3fe35c39ef20d615b1f,25282,1067,849,3,6,15,17,17,17,0,57,\N,\N,48,17,1:33.672,205.149,11,2021
6525f3fe35c39ef20d615b20,25283,1067,20,117,5,10,18,18,18,0,57,\N,\N,54,7,1:32.730,207.233,11,2021
6525f3fe35c39ef20d615b21,25284,1067,854,210,47,14,19,19,19,0,56,\N,\N,52,18,1:34.209,203.98,12,2021
6525f3fe35c39ef20d615b22,25285,1067,853,210,9,18,20,20,20,0,56,\N,\N,52,20,1:35.438,201.353,12,2021
6525f3fe35c39ef20d615b23,25286,1069,830,9,33,1,1,1,1,25,56,1:34:36.552,5676552,52,2,1:39.096,200.278,1,2021
6525f3fe35c39ef20d615b24,25287,1069,1,131,44,2,2,2,2,19,56,+1.333,5677885,41,1,1:38.485,201.521,1,2021
6525f3fe35c39ef20d615b25,25288,1069,815,9,11,3,3,3,3,15,56,+42.223,5718775,32,4,1:39.566,199.333,1,2021
6525f3fe35c39ef20d615b26,25289,1069,844,6,16,4,4,4,4,12,56,+52.246,5728798,41,3,1:39.303,199.861,1,2021
6525f3fe35c39ef20d615b27,25290,1069,817,1,3,6,5,5,5,10,56,+1:16.854,5753406,43,8,1:40.345,197.785,1,2021
6525f3fe35c39ef20d615b28,25291,1069,822,131,77,9,6,6,6,8,56,+1:20.128,5756680,41,6,1:40.147,198.176,1,2021
